osu file format v12

[General]
AudioFilename: 505 - Beethoven Virus - Banya.mp3
AudioLeadIn: 2
PreviewTime: 37067
Countdown: 0
SampleSet: Normal
StackLeniency: 0.7
Mode: 3
LetterboxInBreaks: 0

[Editor]
DistanceSpacing: 0.8
BeatDivisor: 4
GridSize: 8

[Metadata]
Title:Beethoven Virus
TitleUnicide:Beethoven Virus
Artist:BANYA
ArtistUnicode:BANYA
Creator:
Version:easy
Source: Stepmania
Tags: Stepmania
BeatmapID:0
BeatmapSetID:-1

[Difficulty]
HPDrainRate:5
CircleSize:4
OverallDifficulty:7
ApproachRate:10
SliderMultiplier:1.4
SliderTickRate:1

[Events]
//Background and Video events
0,0,"background.jpg"
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Sound Samples
//Background Colour Transformations
3,100,163,162,255

[TimingPoints]
160,370.3704,4,1,0,15,1,0

[HitObjects]
64,192,6085,1,0
192,192,6234,1,0
64,192,6530,1,0
192,192,6678,1,0
64,192,6826,1,0
192,192,6974,1,0
64,192,7715,1,0
192,192,7863,1,0
64,192,8011,1,0
192,192,8159,1,0
64,192,8456,1,0
192,192,8604,1,0
64,192,9048,1,0
64,192,9197,1,0
192,192,9197,1,0
192,192,9345,1,0
64,192,9789,1,0
64,192,9937,1,0
192,192,9937,1,0
192,192,10085,1,0
64,192,10530,1,0
64,192,10678,1,0
192,192,10678,1,0
192,192,10826,1,0
64,192,12752,1,0
64,192,12900,1,0
192,192,12900,1,0
192,192,13048,1,0
192,192,14234,1,0
448,192,14234,1,0
320,192,14382,1,0
64,192,14530,1,0
320,192,14530,1,0
448,192,14678,1,0
64,192,15122,1,0
192,192,15271,1,0
448,192,15271,1,0
64,192,15567,1,0
448,192,15715,1,0
64,192,16011,1,0
64,192,16160,1,0
192,192,16308,1,0
320,192,16456,1,0
448,192,16604,1,0
64,192,17937,1,0
192,192,18085,1,0
64,192,18382,1,0
192,192,18530,1,0
64,192,18678,1,0
192,192,18826,1,0
64,192,19567,1,0
192,192,19715,1,0
64,192,19863,1,0
192,192,20011,1,0
64,192,20308,1,0
192,192,20456,1,0
192,192,20900,1,0
448,192,20900,1,0
320,192,21048,1,0
64,192,21197,1,0
192,192,21641,1,0
448,192,21641,1,0
